date,tournament,player1,player2,recommended_player,opponent,edge_pp,rec_odds,comp_pct,games_line,games_odds,te_match_id,result,score,checked_at
2026-09-18,,Darwin Blanch,Bryce Nakashima,Bryce Nakashima,Darwin Blanch,22.6,2.47,60.2,9.5,1.48,3326373.0,lost,2:0,2026-09-19
2026-09-19,,Alec Braund,Wihan van der Merwe,Alec Braund,Wihan van der Merwe,15.399999999999999,2.1,59.1,10.5,1.53,3326483.0,won,2:1,2026-09-20
2026-09-19,,Eric Tripathi,Jake Dembo,Eric Tripathi,Jake Dembo,24.900000000000006,2.7,58.7,9.5,1.69,3326481.0,lost,2:1,2026-09-20
2026-09-21,,Fermin Tenti,Mariano Kestelboim,Fermin Tenti,Mariano Kestelboim,38.400000000000006,3.8,62.2,7.5,1.56,3328305.0,won,1:0,2026-09-24
2026-09-21,,Filip Misolic,Sebastian Gima,Sebastian Gima,Filip Misolic,43.0,5.25,60.2,6.5,1.69,3328408.0,won,2:1,2026-09-24
2026-09-21,,Talia Gibson,Fiona Ferro,Fiona Ferro,Talia Gibson,17.1,2.27,58.6,9.5,1.51,3327152.0,lost,2:0,2026-09-24
2026-09-21,,Darya Astakhova,Magda Linette,Darya Astakhova,Magda Linette,20.800000000000004,2.7,55.6,9.5,1.65,3328383.0,won,2:1,2026-09-24
2026-09-24,,Liam Delicata,Koray Kirci,Liam Delicata,Koray Kirci,24.89999999999999,2.07,69.1,10.5,1.52,3331598.0,pending,,
2026-09-24,,Ewen Lumsden,Mae Malige,Ewen Lumsden,Mae Malige,21.0,2.35,59.8,10.5,1.65,3331874.0,pending,,
2026-09-24,,Yuliya Hatouka,Ksenia Efremova,Yuliya Hatouka,Ksenia Efremova,33.400000000000006,3.5,59.2,7.5,1.69,3331782.0,pending,,
2026-09-24,,Juncheng Shang,Adrian Mannarino,Adrian Mannarino,Juncheng Shang,23.1,2.8,56.6,9.5,1.55,3329355.0,pending,,
2026-09-24,,Miriana Tona,Nahia Berecoechea,Miriana Tona,Nahia Berecoechea,20.1,2.52,56.1,10.5,1.77,3331038.0,pending,,
2026-09-24,,Jonas Forejtek,Maxime Chazal,Maxime Chazal,Jonas Forejtek,17.6,2.42,56.0,9.5,1.52,3331082.0,pending,,
2026-09-24,,Julita Saner,Arina Gamretkaia,Arina Gamretkaia,Julita Saner,33.2,4.0,55.8,6.5,1.61,3331950.0,pending,,
2026-09-24,,Ellie Daniels,Anastasia Bertacchi,Ellie Daniels,Anastasia Bertacchi,17.799999999999997,2.45,55.0,10.5,1.73,3331760.0,pending,,
